condition,id,subset,label,gold_class,rank,top1,rr,pred
small-n3,letters_lower_j_dejavusans-bold,letters_lower,j,j,8,0,0.125,L
small-n3,letters_lower_j_dejavusansmono-bold,letters_lower,j,j,8,0,0.125,J
small-n3,letters_lower_j_dejavuserif-bold,letters_lower,j,j,28,0,0.03571428571428571,L
small-n3,letters_lower_k_dejavusans-bold,letters_lower,k,K,9,0,0.1111111111111111,L
small-n3,letters_lower_k_dejavusansmono-bold,letters_lower,k,K,1,1,1.0,K
small-n3,letters_lower_k_dejavuserif-bold,letters_lower,k,K,10,0,0.1,L
small-n3,letters_lower_l_dejavusans-bold,letters_lower,l,1,32,0,0.03125,i
small-n3,letters_lower_l_dejavusansmono-bold,letters_lower,l,1,44,0,0.022727272727272728,L
small-n3,letters_lower_l_dejavuserif-bold,letters_lower,l,1,42,0,0.023809523809523808,i
small-n3,letters_lower_m_dejavusans-bold,letters_lower,m,M,15,0,0.06666666666666667,i
small-n3,letters_lower_m_dejavusansmono-bold,letters_lower,m,M,17,0,0.058823529411764705,J
small-n3,letters_lower_m_dejavuserif-bold,letters_lower,m,M,23,0,0.043478260869565216,L
small-n3,letters_lower_n_dejavusans-bold,letters_lower,n,n,19,0,0.05263157894736842,D
small-n3,letters_lower_n_dejavusansmono-bold,letters_lower,n,n,6,0,0.16666666666666666,A
small-n3,letters_lower_n_dejavuserif-bold,letters_lower,n,n,13,0,0.07692307692307693,D
small-n3,letters_lower_o_dejavusans-bold,letters_lower,o,0,48,0,0.020833333333333332,Q
small-n3,letters_lower_o_dejavusansmono-bold,letters_lower,o,0,48,0,0.020833333333333332,Q
small-n3,letters_lower_o_dejavuserif-bold,letters_lower,o,0,47,0,0.02127659574468085,Q
small-n3,letters_lower_p_dejavusans-bold,letters_lower,p,P,9,0,0.1111111111111111,D
small-n3,letters_lower_p_dejavusansmono-bold,letters_lower,p,P,6,0,0.16666666666666666,D
small-n3,letters_lower_p_dejavuserif-bold,letters_lower,p,P,16,0,0.0625,L
small-n3,letters_lower_q_dejavusans-bold,letters_lower,q,q,35,0,0.02857142857142857,V
small-n3,letters_lower_q_dejavusansmono-bold,letters_lower,q,q,24,0,0.041666666666666664,L
small-n3,letters_lower_q_dejavuserif-bold,letters_lower,q,q,2,0,0.5,Q
small-n3,letters_lower_r_dejavusans-bold,letters_lower,r,r,4,0,0.25,i
small-n3,letters_lower_r_dejavusansmono-bold,letters_lower,r,r,9,0,0.1111111111111111,i
small-n3,letters_lower_r_dejavuserif-bold,letters_lower,r,r,4,0,0.25,i
small-n3,letters_lower_s_dejavusans-bold,letters_lower,s,S,48,0,0.020833333333333332,r
small-n3,letters_lower_s_dejavusansmono-bold,letters_lower,s,S,40,0,0.025,J
small-n3,letters_lower_s_dejavuserif-bold,letters_lower,s,S,35,0,0.02857142857142857,J
small-n3,letters_lower_t_dejavusans-bold,letters_lower,t,t,46,0,0.021739130434782608,6
small-n3,letters_lower_t_dejavusansmono-bold,letters_lower,t,t,48,0,0.020833333333333332,L
small-n3,letters_lower_t_dejavuserif-bold,letters_lower,t,t,37,0,0.02702702702702703,L
small-n3,letters_lower_u_dejavusans-bold,letters_lower,u,u,2,0,0.5,U
small-n3,letters_lower_u_dejavusansmono-bold,letters_lower,u,u,2,0,0.5,U
small-n3,letters_lower_u_dejavuserif-bold,letters_lower,u,u,12,0,0.08333333333333333,a
small-n3,letters_lower_v_dejavusans-bold,letters_lower,v,V,2,0,0.5,Y
small-n3,letters_lower_v_dejavusansmono-bold,letters_lower,v,V,1,1,1.0,V
small-n3,letters_lower_v_dejavuserif-bold,letters_lower,v,V,1,1,1.0,V
small-n3,letters_lower_w_dejavusans-bold,letters_lower,w,W,43,0,0.023255813953488372,i
small-n3,letters_lower_w_dejavusansmono-bold,letters_lower,w,W,6,0,0.16666666666666666,Y
small-n3,letters_lower_w_dejavuserif-bold,letters_lower,w,W,36,0,0.027777777777777776,i
small-n3,letters_lower_x_dejavusans-bold,letters_lower,x,x,4,0,0.25,y
small-n3,letters_lower_x_dejavusansmono-bold,letters_lower,x,x,6,0,0.16666666666666666,Y
small-n3,letters_lower_x_dejavuserif-bold,letters_lower,x,x,2,0,0.5,K
small-n3,letters_lower_y_dejavusans-bold,letters_lower,y,y,2,0,0.5,Y
small-n3,letters_lower_y_dejavusansmono-bold,letters_lower,y,y,3,0,0.3333333333333333,Y
small-n3,letters_lower_y_dejavuserif-bold_v2,letters_lower,y,y,2,0,0.5,Y
small-n3,letters_lower_z_dejavusans-bold,letters_lower,z,Z,26,0,0.038461538461538464,Y
small-n3,letters_lower_z_dejavusansmono-bold,letters_lower,z,Z,19,0,0.05263157894736842,J
small-n3,letters_lower_z_dejavuserif-bold,letters_lower,z,Z,31,0,0.03225806451612903,Y
small-n3,letters_upper_A_dejavusans-bold,letters_upper,A,A,2,0,0.5,V
small-n3,letters_upper_A_dejavusansmono-bold,letters_upper,A,A,1,1,1.0,A
small-n3,letters_upper_A_dejavuserif-bold,letters_upper,A,A,1,1,1.0,A
small-n3,letters_upper_B_dejavusans-bold,letters_upper,B,B,32,0,0.03125,J
small-n3,letters_upper_B_dejavusansmono-bold,letters_upper,B,B,25,0,0.04,y
small-n3,letters_upper_B_dejavuserif-bold,letters_upper,B,B,33,0,0.030303030303030304,y
small-n3,letters_upper_C_dejavusans-bold,letters_upper,C,C,13,0,0.07692307692307693,j
small-n3,letters_upper_C_dejavusansmono-bold,letters_upper,C,C,6,0,0.16666666666666666,q
small-n3,letters_upper_C_dejavuserif-bold,letters_upper,C,C,23,0,0.043478260869565216,r
small-n3,letters_upper_D_dejavusans-bold,letters_upper,D,D,16,0,0.0625,J
small-n3,letters_upper_D_dejavusansmono-bold,letters_upper,D,D,6,0,0.16666666666666666,L
small-n3,letters_upper_D_dejavuserif-bold,letters_upper,D,D,8,0,0.125,J
small-n3,letters_upper_E_dejavusans-bold,letters_upper,E,E,5,0,0.2,i
small-n3,letters_upper_E_dejavusansmono-bold,letters_upper,E,E,25,0,0.04,j
small-n3,letters_upper_E_dejavuserif-bold,letters_upper,E,E,25,0,0.04,i
small-n3,letters_upper_F_dejavusans-bold,letters_upper,F,F,4,0,0.25,R
small-n3,letters_upper_F_dejavusansmono-bold,letters_upper,F,F,10,0,0.1,6
small-n3,letters_upper_F_dejavuserif-bold,letters_upper,F,F,7,0,0.14285714285714285,L
small-n3,letters_upper_G_dejavusans-bold,letters_upper,G,G,22,0,0.045454545454545456,J
small-n3,letters_upper_G_dejavusansmono-bold,letters_upper,G,G,19,0,0.05263157894736842,j
small-n3,letters_upper_G_dejavuserif-bold,letters_upper,G,G,23,0,0.043478260869565216,a
small-n3,letters_upper_H_dejavusans-bold,letters_upper,H,H,22,0,0.045454545454545456,4
small-n3,letters_upper_H_dejavusansmono-bold,letters_upper,H,H,12,0,0.08333333333333333,A
small-n3,letters_upper_H_dejavuserif-bold,letters_upper,H,H,11,0,0.09090909090909091,M
small-n3,letters_upper_I_dejavusans-bold,letters_upper,I,1,45,0,0.022222222222222223,i
small-n3,letters_upper_I_dejavusansmono-bold,letters_upper,I,1,38,0,0.02631578947368421,Y
small-n3,letters_upper_I_dejavuserif-bold,letters_upper,I,1,42,0,0.023809523809523808,i
small-n3,letters_upper_J_dejavusans-bold,letters_upper,J,J,3,0,0.3333333333333333,L
small-n3,letters_upper_J_dejavusansmono-bold,letters_upper,J,J,5,0,0.2,L
small-n3,letters_upper_J_dejavuserif-bold,letters_upper,J,J,4,0,0.25,L
small-n3,letters_upper_K_dejavusans-bold,letters_upper,K,K,20,0,0.05,J
small-n3,letters_upper_K_dejavusansmono-bold,letters_upper,K,K,6,0,0.16666666666666666,Y
small-n3,letters_upper_K_dejavuserif-bold,letters_upper,K,K,1,1,1.0,K
small-n3,letters_upper_L_dejavusans-bold,letters_upper,L,L,2,0,0.5,i
small-n3,letters_upper_L_dejavusansmono-bold,letters_upper,L,L,1,1,1.0,L
small-n3,letters_upper_L_dejavuserif-bold,letters_upper,L,L,5,0,0.2,i
small-n3,letters_upper_M_dejavusans-bold,letters_upper,M,M,14,0,0.07142857142857142,a
small-n3,letters_upper_M_dejavusansmono-bold,letters_upper,M,M,8,0,0.125,V
small-n3,letters_upper_M_dejavuserif-bold_v2,letters_upper,M,M,1,1,1.0,M
small-n3,letters_upper_N_dejavusans-bold,letters_upper,N,N,8,0,0.125,A
small-n3,letters_upper_N_dejavusansmono-bold,letters_upper,N,N,9,0,0.1111111111111111,a
small-n3,letters_upper_N_dejavuserif-bold_v2,letters_upper,N,N,10,0,0.1,Y
small-n3,letters_upper_O_dejavusans-bold,letters_upper,O,0,49,0,0.02040816326530612,D
small-n3,letters_upper_O_dejavusansmono-bold,letters_upper,O,0,48,0,0.020833333333333332,q
small-n3,letters_upper_O_dejavuserif-bold,letters_upper,O,0,47,0,0.02127659574468085,Q
small-n3,letters_upper_P_dejavusans-bold,letters_upper,P,P,21,0,0.047619047619047616,D
small-n3,letters_upper_P_dejavusansmono-bold,letters_upper,P,P,19,0,0.05263157894736842,L
small-n3,letters_upper_P_dejavuserif-bold,letters_upper,P,P,12,0,0.08333333333333333,L
small-n3,letters_upper_Q_dejavusans-bold,letters_upper,Q,Q,3,0,0.3333333333333333,J
small-n3,letters_upper_Q_dejavusansmono-bold,letters_upper,Q,Q,1,1,1.0,Q
small-n3,letters_upper_Q_dejavuserif-bold,letters_upper,Q,Q,1,1,1.0,Q
small-n3,letters_upper_R_dejavusans-bold,letters_upper,R,R,4,0,0.25,D
small-n3,letters_upper_R_dejavusansmono-bold,letters_upper,R,R,17,0,0.058823529411764705,L
small-n3,letters_upper_R_dejavuserif-bold,letters_upper,R,R,6,0,0.16666666666666666,b
small-n3,letters_upper_S_dejavusans-bold,letters_upper,S,S,46,0,0.021739130434782608,x
small-n3,letters_upper_S_dejavusansmono-bold,letters_upper,S,S,49,0,0.02040816326530612,D
small-n3,letters_upper_S_dejavuserif-bold,letters_upper,S,S,45,0,0.022222222222222223,L
small-n3,letters_upper_T_dejavusans-bold,letters_upper,T,T,3,0,0.3333333333333333,Y
small-n3,letters_upper_T_dejavusansmono-bold,letters_upper,T,T,3,0,0.3333333333333333,Y
small-n3,letters_upper_T_dejavuserif-bold,letters_upper,T,T,5,0,0.2,Y
small-n3,letters_upper_U_dejavusans-bold,letters_upper,U,U,1,1,1.0,U
small-n3,letters_upper_U_dejavusansmono-bold,letters_upper,U,U,5,0,0.2,V
small-n3,letters_upper_U_dejavuserif-bold_v2,letters_upper,U,U,10,0,0.1,Y
small-n3,letters_upper_V_dejavusans-bold,letters_upper,V,V,1,1,1.0,V
small-n3,letters_upper_V_dejavusansmono-bold,letters_upper,V,V,1,1,1.0,V
small-n3,letters_upper_V_dejavuserif-bold_v2,letters_upper,V,V,2,0,0.5,Y
small-n3,letters_upper_W_dejavusans-bold,letters_upper,W,W,23,0,0.043478260869565216,T
small-n3,letters_upper_W_dejavusansmono-bold,letters_upper,W,W,6,0,0.16666666666666666,V
small-n3,letters_upper_W_dejavuserif-bold,letters_upper,W,W,10,0,0.1,A
small-n3,letters_upper_X_dejavusans-bold,letters_upper,X,X,2,0,0.5,Y
small-n3,letters_upper_X_dejavusansmono-bold,letters_upper,X,X,3,0,0.3333333333333333,Y
small-n3,letters_upper_X_dejavuserif-bold,letters_upper,X,X,2,0,0.5,x
small-n3,letters_upper_Y_dejavusans-bold,letters_upper,Y,Y,1,1,1.0,Y
small-n3,letters_upper_Y_dejavusansmono-bold,letters_upper,Y,Y,1,1,1.0,Y
small-n3,letters_upper_Y_dejavuserif-bold,letters_upper,Y,Y,1,1,1.0,Y
small-n3,letters_upper_Z_dejavusans-bold,letters_upper,Z,Z,23,0,0.043478260869565216,Y
small-n3,letters_upper_Z_dejavusansmono-bold,letters_upper,Z,Z,9,0,0.1111111111111111,Y
small-n3,letters_upper_Z_dejavuserif-bold,letters_upper,Z,Z,18,0,0.05555555555555555,Y
big-n3,digits_0_dejavusans-bold,digits,0,0,48,0,0.020833333333333332,Q
big-n3,digits_0_dejavusansmono-bold,digits,0,0,48,0,0.020833333333333332,q
big-n3,digits_0_dejavuserif-bold,digits,0,0,48,0,0.020833333333333332,J
big-n3,digits_1_dejavusans-bold,digits,1,1,29,0,0.034482758620689655,y
big-n3,digits_1_dejavusansmono-bold,digits,1,1,15,0,0.06666666666666667,L
big-n3,digits_1_dejavuserif-bold,digits,1,1,25,0,0.04,L
big-n3,digits_2_dejavusans-bold,digits,2,2,44,0,0.022727272727272728,J
big-n3,digits_2_dejavusansmono-bold,digits,2,2,44,0,0.022727272727272728,L
big-n3,digits_2_dejavuserif-bold,digits,2,2,32,0,0.03125,L
big-n3,digits_3_dejavusans-bold,digits,3,3,48,0,0.020833333333333332,J
big-n3,digits_3_dejavusansmono-bold,digits,3,3,45,0,0.022222222222222223,L
big-n3,digits_3_dejavuserif-bold,digits,3,3,47,0,0.02127659574468085,x
big-n3,digits_4_dejavusans-bold,digits,4,4,41,0,0.024390243902439025,r
big-n3,digits_4_dejavusansmono-bold,digits,4,4,35,0,0.02857142857142857,n
big-n3,digits_4_dejavuserif-bold,digits,4,4,9,0,0.1111111111111111,A
big-n3,digits_5_dejavusans-bold,digits,5,5,46,0,0.021739130434782608,K
big-n3,digits_5_dejavusansmono-bold,digits,5,5,48,0,0.020833333333333332,i
big-n3,digits_5_dejavuserif-bold,digits,5,5,47,0,0.02127659574468085,J
big-n3,digits_6_dejavusans-bold,digits,6,6,22,0,0.045454545454545456,i
big-n3,digits_6_dejavusansmono-bold,digits,6,6,41,0,0.024390243902439025,i
big-n3,digits_6_dejavuserif-bold,digits,6,6,1,1,1.0,6
big-n3,digits_7_dejavusans-bold,digits,7,7,21,0,0.047619047619047616,Y
big-n3,digits_7_dejavusansmono-bold,digits,7,7,30,0,0.03333333333333333,y
big-n3,digits_7_dejavuserif-bold,digits,7,7,36,0,0.027777777777777776,Y
big-n3,digits_8_dejavusans-bold,digits,8,8,40,0,0.025,Q
big-n3,digits_8_dejavusansmono-bold,digits,8,8,6,0,0.16666666666666666,6
big-n3,digits_8_dejavuserif-bold,digits,8,8,39,0,0.02564102564102564,Q
big-n3,digits_9_dejavusans-bold,digits,9,q,17,0,0.058823529411764705,A
big-n3,digits_9_dejavusansmono-bold,digits,9,q,26,0,0.038461538461538464,Y
big-n3,digits_9_dejavuserif-bold,digits,9,q,12,0,0.08333333333333333,Q
big-n3,letters_lower_a_dejavusans-bold,letters_lower,a,a,14,0,0.07142857142857142,Z
big-n3,letters_lower_a_dejavusansmono-bold,letters_lower,a,a,10,0,0.1,D
big-n3,letters_lower_a_dejavuserif-bold,letters_lower,a,a,4,0,0.25,L
big-n3,letters_lower_b_dejavusans-bold,letters_lower,b,b,36,0,0.027777777777777776,J
big-n3,letters_lower_b_dejavusansmono-bold,letters_lower,b,b,37,0,0.02702702702702703,L
big-n3,letters_lower_b_dejavuserif-bold,letters_lower,b,b,28,0,0.03571428571428571,L
big-n3,letters_lower_c_dejavusans-bold,letters_lower,c,C,1,1,1.0,C
big-n3,letters_lower_c_dejavusansmono-bold,letters_lower,c,C,7,0,0.14285714285714285,r
big-n3,letters_lower_c_dejavuserif-bold,letters_lower,c,C,6,0,0.16666666666666666,J
big-n3,letters_lower_d_dejavusans-bold,letters_lower,d,d,18,0,0.05555555555555555,J
big-n3,letters_lower_d_dejavusansmono-bold,letters_lower,d,d,14,0,0.07142857142857142,J
big-n3,letters_lower_d_dejavuserif-bold,letters_lower,d,d,8,0,0.125,A
big-n3,letters_lower_e_dejavusans-bold,letters_lower,e,e,31,0,0.03225806451612903,A
big-n3,letters_lower_e_dejavusansmono-bold,letters_lower,e,e,35,0,0.02857142857142857,A
big-n3,letters_lower_e_dejavuserif-bold,letters_lower,e,e,37,0,0.02702702702702703,J
big-n3,letters_lower_f_dejavusans-bold,letters_lower,f,f,20,0,0.05,J
big-n3,letters_lower_f_dejavusansmono-bold,letters_lower,f,f,31,0,0.03225806451612903,X
big-n3,letters_lower_f_dejavuserif-bold,letters_lower,f,f,41,0,0.024390243902439025,L
big-n3,letters_lower_g_dejavusans-bold,letters_lower,g,g,26,0,0.038461538461538464,Q
big-n3,letters_lower_g_dejavusansmono-bold,letters_lower,g,g,23,0,0.043478260869565216,Q
big-n3,letters_lower_g_dejavuserif-bold,letters_lower,g,g,19,0,0.05263157894736842,Q
big-n3,letters_lower_h_dejavusans-bold,letters_lower,h,h,42,0,0.023809523809523808,J
big-n3,letters_lower_h_dejavusansmono-bold,letters_lower,h,h,9,0,0.1111111111111111,U
big-n3,letters_lower_h_dejavuserif-bold,letters_lower,h,h,8,0,0.125,a
big-n3,letters_lower_i_dejavusans-bold,letters_lower,i,i,1,1,1.0,i
big-n3,letters_lower_i_dejavusansmono-bold,letters_lower,i,i,5,0,0.2,L
big-n3,letters_lower_i_dejavuserif-bold,letters_lower,i,i,2,0,0.5,L
big-n3,letters_lower_j_dejavusans-bold,letters_lower,j,j,4,0,0.25,i
big-n3,letters_lower_j_dejavusansmono-bold,letters_lower,j,j,10,0,0.1,i
big-n3,letters_lower_j_dejavuserif-bold,letters_lower,j,j,3,0,0.3333333333333333,i
big-n3,letters_lower_k_dejavusans-bold,letters_lower,k,K,21,0,0.047619047619047616,a
big-n3,letters_lower_k_dejavusansmono-bold,letters_lower,k,K,3,0,0.3333333333333333,J
big-n3,letters_lower_k_dejavuserif-bold,letters_lower,k,K,11,0,0.09090909090909091,i
big-n3,letters_lower_l_dejavusans-bold,letters_lower,l,1,30,0,0.03333333333333333,L
big-n3,letters_lower_l_dejavusansmono-bold,letters_lower,l,1,43,0,0.023255813953488372,L
big-n3,letters_lower_l_dejavuserif-bold,letters_lower,l,1,23,0,0.043478260869565216,L
big-n3,letters_lower_m_dejavusans-bold,letters_lower,m,M,3,0,0.3333333333333333,n
big-n3,letters_lower_m_dejavusansmono-bold,letters_lower,m,M,6,0,0.16666666666666666,D
big-n3,letters_lower_m_dejavuserif-bold,letters_lower,m,M,25,0,0.04,i
big-n3,letters_lower_n_dejavusans-bold,letters_lower,n,n,4,0,0.25,A
big-n3,letters_lower_n_dejavusansmono-bold,letters_lower,n,n,15,0,0.06666666666666667,D
big-n3,letters_lower_n_dejavuserif-bold,letters_lower,n,n,19,0,0.05263157894736842,L
big-n3,letters_lower_o_dejavusans-bold,letters_lower,o,0,48,0,0.020833333333333332,Q
big-n3,letters_lower_o_dejavusansmono-bold,letters_lower,o,0,47,0,0.02127659574468085,i
big-n3,letters_lower_o_dejavuserif-bold,letters_lower,o,0,47,0,0.02127659574468085,A
big-n3,letters_lower_p_dejavusans-bold,letters_lower,p,P,4,0,0.25,D
big-n3,letters_lower_p_dejavusansmono-bold,letters_lower,p,P,10,0,0.1,R
big-n3,letters_lower_p_dejavuserif-bold,letters_lower,p,P,17,0,0.058823529411764705,L
big-n3,letters_lower_q_dejavusans-bold,letters_lower,q,q,17,0,0.058823529411764705,Y
big-n3,letters_lower_q_dejavusansmono-bold,letters_lower,q,q,20,0,0.05,i
big-n3,letters_lower_q_dejavuserif-bold,letters_lower,q,q,15,0,0.06666666666666667,D
big-n3,letters_lower_r_dejavusans-bold,letters_lower,r,r,10,0,0.1,i
big-n3,letters_lower_r_dejavusansmono-bold,letters_lower,r,r,4,0,0.25,L
big-n3,letters_lower_r_dejavuserif-bold,letters_lower,r,r,26,0,0.038461538461538464,y
big-n3,letters_lower_s_dejavusans-bold,letters_lower,s,S,34,0,0.029411764705882353,X
big-n3,letters_lower_s_dejavusansmono-bold,letters_lower,s,S,45,0,0.022222222222222223,J
big-n3,letters_lower_s_dejavuserif-bold,letters_lower,s,S,40,0,0.025,J
big-n3,letters_lower_t_dejavusans-bold,letters_lower,t,t,46,0,0.021739130434782608,X
big-n3,letters_lower_t_dejavusansmono-bold,letters_lower,t,t,42,0,0.023809523809523808,X
big-n3,letters_lower_t_dejavuserif-bold,letters_lower,t,t,18,0,0.05555555555555555,i
big-n3,letters_lower_u_dejavusans-bold,letters_lower,u,u,6,0,0.16666666666666666,a
big-n3,letters_lower_u_dejavusansmono-bold,letters_lower,u,u,2,0,0.5,U
big-n3,letters_lower_u_dejavuserif-bold,letters_lower,u,u,33,0,0.030303030303030304,a
big-n3,letters_lower_v_dejavusans-bold,letters_lower,v,V,1,1,1.0,V
big-n3,letters_lower_v_dejavusansmono-bold,letters_lower,v,V,1,1,1.0,V
big-n3,letters_lower_v_dejavuserif-bold,letters_lower,v,V,1,1,1.0,V
big-n3,letters_lower_w_dejavusans-bold,letters_lower,w,W,14,0,0.07142857142857142,U
big-n3,letters_lower_w_dejavusansmono-bold,letters_lower,w,W,9,0,0.1111111111111111,X
big-n3,letters_lower_w_dejavuserif-bold,letters_lower,w,W,32,0,0.03125,a
big-n3,letters_lower_x_dejavusans-bold,letters_lower,x,x,3,0,0.3333333333333333,X
big-n3,letters_lower_x_dejavusansmono-bold,letters_lower,x,x,1,1,1.0,x
big-n3,letters_lower_x_dejavuserif-bold,letters_lower,x,x,6,0,0.16666666666666666,a
big-n3,letters_lower_y_dejavusans-bold,letters_lower,y,y,3,0,0.3333333333333333,Y
big-n3,letters_lower_y_dejavusansmono-bold,letters_lower,y,y,3,0,0.3333333333333333,Y
big-n3,letters_lower_y_dejavuserif-bold_v2,letters_lower,y,y,2,0,0.5,Y
big-n3,letters_lower_z_dejavusans-bold,letters_lower,z,Z,28,0,0.03571428571428571,Y
big-n3,letters_lower_z_dejavusansmono-bold,letters_lower,z,Z,8,0,0.125,Y
big-n3,letters_lower_z_dejavuserif-bold,letters_lower,z,Z,21,0,0.047619047619047616,J
big-n3,letters_upper_A_dejavusans-bold,letters_upper,A,A,2,0,0.5,a
big-n3,letters_upper_A_dejavusansmono-bold,letters_upper,A,A,1,1,1.0,A
big-n3,letters_upper_A_dejavuserif-bold,letters_upper,A,A,1,1,1.0,A
big-n3,letters_upper_B_dejavusans-bold,letters_upper,B,B,36,0,0.027777777777777776,a
big-n3,letters_upper_B_dejavusansmono-bold,letters_upper,B,B,13,0,0.07692307692307693,a
big-n3,letters_upper_B_dejavuserif-bold,letters_upper,B,B,27,0,0.037037037037037035,x
big-n3,letters_upper_C_dejavusans-bold,letters_upper,C,C,1,1,1.0,C
big-n3,letters_upper_C_dejavusansmono-bold,letters_upper,C,C,17,0,0.058823529411764705,q
big-n3,letters_upper_C_dejavuserif-bold,letters_upper,C,C,3,0,0.3333333333333333,G
big-n3,letters_upper_D_dejavusans-bold,letters_upper,D,D,2,0,0.5,a
big-n3,letters_upper_D_dejavusansmono-bold,letters_upper,D,D,3,0,0.3333333333333333,d
big-n3,letters_upper_D_dejavuserif-bold,letters_upper,D,D,1,1,1.0,D
