condition,budget,n_robots,id,subset,best_iou,best_iou_vs_original,mean_iou,mean_iou_vs_original,std_iou,min_iou,n_runs,seconds
big-n3,big,3,letters_lower_k_dejavuserif-bold,letters_lower,0.716,0.716,0.6843,0.6843,0.0167,0.6704,5,57.1
big-n3,big,3,letters_lower_l_dejavusans-bold,letters_lower,0.8317,0.8317,0.819,0.819,0.0105,0.8045,5,56.0
big-n3,big,3,letters_lower_l_dejavusansmono-bold,letters_lower,0.7363,0.7363,0.7135,0.7135,0.0148,0.697,5,58.8
big-n3,big,3,letters_lower_l_dejavuserif-bold,letters_lower,0.8381,0.8381,0.8197,0.8197,0.0229,0.7769,5,56.9
big-n3,big,3,letters_lower_m_dejavusans-bold,letters_lower,0.7322,0.7322,0.6731,0.6731,0.0318,0.6431,5,57.4
big-n3,big,3,letters_lower_m_dejavusansmono-bold,letters_lower,0.6461,0.6461,0.5989,0.5989,0.0356,0.5491,5,57.5
big-n3,big,3,letters_lower_m_dejavuserif-bold,letters_lower,0.6724,0.6724,0.6577,0.6577,0.0103,0.6445,5,56.1
big-n3,big,3,letters_lower_n_dejavusans-bold,letters_lower,0.7284,0.7284,0.6934,0.6934,0.0303,0.647,5,56.9
big-n3,big,3,letters_lower_n_dejavusansmono-bold,letters_lower,0.7637,0.7637,0.716,0.716,0.0397,0.6503,5,56.5
big-n3,big,3,letters_lower_n_dejavuserif-bold,letters_lower,0.7335,0.7335,0.6986,0.6986,0.0231,0.667,5,55.9
big-n3,big,3,letters_lower_o_dejavusans-bold,letters_lower,0.8288,0.8288,0.7793,0.7793,0.0322,0.7328,5,57.1
big-n3,big,3,letters_lower_o_dejavusansmono-bold,letters_lower,0.8092,0.8092,0.7898,0.7898,0.017,0.7617,5,56.2
big-n3,big,3,letters_lower_o_dejavuserif-bold,letters_lower,0.7685,0.7685,0.74,0.74,0.032,0.6801,5,58.4
big-n3,big,3,letters_lower_p_dejavusans-bold,letters_lower,0.7414,0.7414,0.7309,0.7309,0.0115,0.7121,5,56.3
big-n3,big,3,letters_lower_p_dejavusansmono-bold,letters_lower,0.7531,0.7531,0.7378,0.7378,0.0152,0.7106,5,56.9
big-n3,big,3,letters_lower_p_dejavuserif-bold,letters_lower,0.7559,0.7559,0.711,0.711,0.0282,0.6693,5,56.6
big-n3,big,3,letters_lower_q_dejavusans-bold,letters_lower,0.7105,0.7105,0.6672,0.6672,0.0306,0.6296,5,56.3
big-n3,big,3,letters_lower_q_dejavusansmono-bold,letters_lower,0.6911,0.6911,0.6751,0.6751,0.0249,0.6258,5,58.9
big-n3,big,3,letters_lower_q_dejavuserif-bold,letters_lower,0.6786,0.6786,0.6546,0.6546,0.0141,0.6347,5,56.5
big-n3,big,3,letters_lower_r_dejavusans-bold,letters_lower,0.8583,0.8583,0.8378,0.8378,0.0143,0.8219,5,58.8
big-n3,big,3,letters_lower_r_dejavusansmono-bold,letters_lower,0.8881,0.8881,0.857,0.857,0.0199,0.8273,5,58.2
big-n3,big,3,letters_lower_r_dejavuserif-bold,letters_lower,0.7774,0.7774,0.7442,0.7442,0.0289,0.7012,5,58.8
big-n3,big,3,letters_lower_s_dejavusans-bold,letters_lower,0.6743,0.6743,0.6605,0.6605,0.0157,0.6371,5,56.8
big-n3,big,3,letters_lower_s_dejavusansmono-bold,letters_lower,0.7072,0.7072,0.6546,0.6546,0.0348,0.6024,5,57.2
big-n3,big,3,letters_lower_s_dejavuserif-bold,letters_lower,0.6368,0.6368,0.6161,0.6161,0.0141,0.5944,5,56.5
big-n3,big,3,letters_lower_t_dejavusans-bold,letters_lower,0.7642,0.7642,0.7536,0.7536,0.0101,0.7381,5,56.5
big-n3,big,3,letters_lower_t_dejavusansmono-bold,letters_lower,0.7275,0.7275,0.7044,0.7044,0.0163,0.6805,5,56.0
big-n3,big,3,letters_lower_t_dejavuserif-bold,letters_lower,0.788,0.788,0.7642,0.7642,0.0189,0.7317,5,54.9
big-n3,big,3,letters_lower_u_dejavusans-bold,letters_lower,0.8015,0.8015,0.752,0.752,0.0329,0.7058,5,56.4
big-n3,big,3,letters_lower_u_dejavusansmono-bold,letters_lower,0.8053,0.8053,0.7752,0.7752,0.0206,0.7413,5,55.8
big-n3,big,3,letters_lower_u_dejavuserif-bold,letters_lower,0.7408,0.7408,0.7177,0.7177,0.0185,0.6959,5,57.5
big-n3,big,3,letters_lower_v_dejavusans-bold,letters_lower,0.83,0.83,0.8178,0.8178,0.0114,0.8034,5,57.6
big-n3,big,3,letters_lower_v_dejavusansmono-bold,letters_lower,0.8289,0.8289,0.8088,0.8088,0.0138,0.7924,5,55.8
big-n3,big,3,letters_lower_v_dejavuserif-bold,letters_lower,0.7912,0.7912,0.7743,0.7743,0.0091,0.7675,5,55.2
big-n3,big,3,letters_lower_w_dejavusans-bold,letters_lower,0.7145,0.7145,0.6725,0.6725,0.023,0.648,5,58.8
big-n3,big,3,letters_lower_w_dejavusansmono-bold,letters_lower,0.6948,0.6948,0.6545,0.6545,0.0423,0.5972,5,58.5
big-n3,big,3,letters_lower_w_dejavuserif-bold,letters_lower,0.642,0.642,0.6284,0.6284,0.012,0.6152,5,58.4
big-n3,big,3,letters_lower_x_dejavusans-bold,letters_lower,0.7,0.7,0.67,0.67,0.0222,0.6342,5,57.3
big-n3,big,3,letters_lower_x_dejavusansmono-bold,letters_lower,0.6996,0.6996,0.654,0.654,0.0286,0.6191,5,57.6
big-n3,big,3,letters_lower_x_dejavuserif-bold,letters_lower,0.6589,0.6589,0.6229,0.6229,0.0225,0.5986,5,57.6
big-n3,big,3,letters_lower_y_dejavusans-bold,letters_lower,0.8458,0.8458,0.806,0.806,0.0278,0.7687,5,52.7
big-n3,big,3,letters_lower_y_dejavusansmono-bold,letters_lower,0.8084,0.8084,0.7578,0.7578,0.0329,0.711,5,56.3
big-n3,big,3,letters_lower_y_dejavuserif-bold_v2,letters_lower,0.7627,0.7627,0.7265,0.7265,0.0204,0.7091,5,53.6
big-n3,big,3,letters_lower_z_dejavusans-bold,letters_lower,0.7174,0.7174,0.6956,0.6956,0.0136,0.6775,5,55.5
big-n3,big,3,letters_lower_z_dejavusansmono-bold,letters_lower,0.726,0.726,0.6995,0.6995,0.0195,0.6715,5,55.9
big-n3,big,3,letters_lower_z_dejavuserif-bold,letters_lower,0.7343,0.7343,0.6643,0.6643,0.0361,0.6321,5,55.7
big-n3,big,3,letters_upper_A_dejavusans-bold,letters_upper,0.7224,0.7224,0.6695,0.6695,0.0274,0.6463,5,56.7
big-n3,big,3,letters_upper_A_dejavusansmono-bold,letters_upper,0.7512,0.7512,0.6983,0.6983,0.0271,0.6769,5,56.8
big-n3,big,3,letters_upper_A_dejavuserif-bold,letters_upper,0.6307,0.6307,0.6062,0.6062,0.0181,0.5881,5,57.6
big-n3,big,3,letters_upper_B_dejavusans-bold,letters_upper,0.7503,0.7503,0.7423,0.7423,0.0041,0.7389,5,56.4
big-n3,big,3,letters_upper_B_dejavusansmono-bold,letters_upper,0.7438,0.7438,0.7201,0.7201,0.0158,0.7046,5,56.7
big-n3,big,3,letters_upper_B_dejavuserif-bold,letters_upper,0.7763,0.7763,0.7064,0.7064,0.0392,0.6712,5,56.6
big-n3,big,3,letters_upper_C_dejavusans-bold,letters_upper,0.7988,0.7988,0.724,0.724,0.0493,0.6539,5,55.4
big-n3,big,3,letters_upper_C_dejavusansmono-bold,letters_upper,0.7679,0.7679,0.7374,0.7374,0.0166,0.7207,5,55.9
big-n3,big,3,letters_upper_C_dejavuserif-bold,letters_upper,0.6548,0.6548,0.6277,0.6277,0.029,0.58,5,55.3
big-n3,big,3,letters_upper_D_dejavusans-bold,letters_upper,0.8125,0.8125,0.774,0.774,0.0297,0.7229,5,56.3
big-n3,big,3,letters_upper_D_dejavusansmono-bold,letters_upper,0.8204,0.8204,0.8017,0.8017,0.0159,0.781,5,56.2
big-n3,big,3,letters_upper_D_dejavuserif-bold,letters_upper,0.8029,0.8029,0.7574,0.7574,0.0264,0.7287,5,55.2
big-n3,big,3,letters_upper_E_dejavusans-bold,letters_upper,0.7138,0.7138,0.6856,0.6856,0.0294,0.6309,5,57.1
big-n3,big,3,letters_upper_E_dejavusansmono-bold,letters_upper,0.7474,0.7474,0.7189,0.7189,0.0238,0.6763,5,55.9
big-n3,big,3,letters_upper_E_dejavuserif-bold,letters_upper,0.65,0.65,0.622,0.622,0.0219,0.6014,5,56.5
big-n3,big,3,letters_upper_F_dejavusans-bold,letters_upper,0.7632,0.7632,0.7418,0.7418,0.0203,0.7142,5,57.1
big-n3,big,3,letters_upper_F_dejavusansmono-bold,letters_upper,0.7731,0.7731,0.7198,0.7198,0.0402,0.6538,5,56.1
big-n3,big,3,letters_upper_F_dejavuserif-bold,letters_upper,0.6746,0.6746,0.6628,0.6628,0.015,0.6342,5,56.2
big-n3,big,3,letters_upper_G_dejavusans-bold,letters_upper,0.7022,0.7022,0.664,0.664,0.0338,0.6072,5,56.6
big-n3,big,3,letters_upper_G_dejavusansmono-bold,letters_upper,0.6977,0.6977,0.6692,0.6692,0.0152,0.6546,5,55.7
big-n3,big,3,letters_upper_G_dejavuserif-bold,letters_upper,0.65,0.65,0.5884,0.5884,0.0379,0.551,5,55.0
big-n3,big,3,letters_upper_H_dejavusans-bold,letters_upper,0.6878,0.6878,0.6676,0.6676,0.0302,0.6078,5,56.8
big-n3,big,3,letters_upper_H_dejavusansmono-bold,letters_upper,0.707,0.707,0.6772,0.6772,0.029,0.6241,5,56.0
big-n3,big,3,letters_upper_H_dejavuserif-bold,letters_upper,0.6865,0.6865,0.6481,0.6481,0.0341,0.5978,5,56.1
big-n3,big,3,letters_upper_I_dejavusans-bold,letters_upper,0.8632,0.8632,0.8434,0.8434,0.0155,0.8188,5,57.2
big-n3,big,3,letters_upper_I_dejavusansmono-bold,letters_upper,0.7915,0.7915,0.7598,0.7598,0.0196,0.7355,5,57.0
big-n3,big,3,letters_upper_I_dejavuserif-bold,letters_upper,0.8593,0.8593,0.8347,0.8347,0.0175,0.813,5,56.7
big-n3,big,3,letters_upper_J_dejavusans-bold,letters_upper,0.8572,0.8572,0.8253,0.8253,0.0379,0.7512,5,57.8
big-n3,big,3,letters_upper_J_dejavusansmono-bold,letters_upper,0.7746,0.7746,0.7506,0.7506,0.0162,0.7345,5,57.2
big-n3,big,3,letters_upper_J_dejavuserif-bold,letters_upper,0.7645,0.7645,0.745,0.745,0.0142,0.7258,5,56.0
big-n3,big,3,letters_upper_K_dejavusans-bold,letters_upper,0.6787,0.6787,0.6469,0.6469,0.0241,0.618,5,56.7
big-n3,big,3,letters_upper_K_dejavusansmono-bold,letters_upper,0.6763,0.6763,0.6513,0.6513,0.0264,0.6141,5,56.9
big-n3,big,3,letters_upper_K_dejavuserif-bold,letters_upper,0.6773,0.6773,0.6359,0.6359,0.0319,0.6025,5,56.0
big-n3,big,3,letters_upper_L_dejavusans-bold,letters_upper,0.8791,0.8791,0.8265,0.8265,0.0315,0.794,5,57.0
big-n3,big,3,letters_upper_L_dejavusansmono-bold,letters_upper,0.8682,0.8682,0.8268,0.8268,0.0305,0.7986,5,56.7
big-n3,big,3,letters_upper_L_dejavuserif-bold,letters_upper,0.778,0.778,0.7727,0.7727,0.0076,0.7578,5,55.4
big-n3,big,3,letters_upper_M_dejavusans-bold,letters_upper,0.6444,0.6444,0.6008,0.6008,0.0267,0.5695,5,59.1
big-n3,big,3,letters_upper_M_dejavusansmono-bold,letters_upper,0.6301,0.6301,0.5982,0.5982,0.0287,0.5492,5,57.6
big-n3,big,3,letters_upper_M_dejavuserif-bold_v2,letters_upper,0.6896,0.6896,0.6605,0.6605,0.0358,0.5921,5,58.7
big-n3,big,3,letters_upper_N_dejavusans-bold,letters_upper,0.7141,0.7141,0.6664,0.6664,0.0431,0.6075,5,59.4
big-n3,big,3,letters_upper_N_dejavusansmono-bold,letters_upper,0.7395,0.7395,0.7028,0.7028,0.0419,0.6212,5,57.6
big-n3,big,3,letters_upper_N_dejavuserif-bold_v2,letters_upper,0.6281,0.6281,0.591,0.591,0.0188,0.5755,5,55.9
big-n3,big,3,letters_upper_O_dejavusans-bold,letters_upper,0.8053,0.8053,0.7649,0.7649,0.0282,0.7318,5,56.4
big-n3,big,3,letters_upper_O_dejavusansmono-bold,letters_upper,0.8185,0.8185,0.7921,0.7921,0.026,0.7428,5,56.8
big-n3,big,3,letters_upper_O_dejavuserif-bold,letters_upper,0.7658,0.7658,0.7366,0.7366,0.0258,0.6947,5,57.8
big-n3,big,3,letters_upper_P_dejavusans-bold,letters_upper,0.7212,0.7212,0.692,0.692,0.0271,0.6424,5,56.7
big-n3,big,3,letters_upper_P_dejavusansmono-bold,letters_upper,0.7499,0.7499,0.7253,0.7253,0.0213,0.693,5,56.8
big-n3,big,3,letters_upper_P_dejavuserif-bold,letters_upper,0.6876,0.6876,0.6626,0.6626,0.0247,0.6234,5,57.6
big-n3,big,3,letters_upper_Q_dejavusans-bold,letters_upper,0.7454,0.7454,0.7142,0.7142,0.0169,0.6991,5,58.0
big-n3,big,3,letters_upper_Q_dejavusansmono-bold,letters_upper,0.7274,0.7274,0.7148,0.7148,0.0125,0.6956,5,57.4
big-n3,big,3,letters_upper_Q_dejavuserif-bold,letters_upper,0.6657,0.6657,0.6574,0.6574,0.006,0.6476,5,57.4
big-n3,big,3,letters_upper_R_dejavusans-bold,letters_upper,0.7064,0.7064,0.6624,0.6624,0.0277,0.6266,5,56.9
big-n3,big,3,letters_upper_R_dejavusansmono-bold,letters_upper,0.6906,0.6906,0.6671,0.6671,0.013,0.6558,5,56.8
big-n3,big,3,letters_upper_R_dejavuserif-bold,letters_upper,0.6921,0.6921,0.6419,0.6419,0.0409,0.5819,5,57.0
big-n3,big,3,letters_upper_S_dejavusans-bold,letters_upper,0.6819,0.6819,0.6576,0.6576,0.0199,0.6306,5,57.4
big-n3,big,3,letters_upper_S_dejavusansmono-bold,letters_upper,0.6988,0.6988,0.655,0.655,0.0328,0.6179,5,58.5
big-n3,big,3,letters_upper_S_dejavuserif-bold,letters_upper,0.6136,0.6136,0.5783,0.5783,0.0255,0.5419,5,59.3
big-n3,big,3,letters_upper_T_dejavusans-bold,letters_upper,0.7869,0.7869,0.7765,0.7765,0.0078,0.7635,5,56.7
big-n3,big,3,letters_upper_T_dejavusansmono-bold,letters_upper,0.7452,0.7452,0.7315,0.7315,0.0109,0.7187,5,56.3
big-n3,big,3,letters_upper_T_dejavuserif-bold,letters_upper,0.7028,0.7028,0.6891,0.6891,0.0116,0.6753,5,57.7
big-n3,big,3,letters_upper_U_dejavusans-bold,letters_upper,0.8148,0.8148,0.758,0.758,0.0455,0.6834,5,56.8
big-n3,big,3,letters_upper_U_dejavusansmono-bold,letters_upper,0.7914,0.7914,0.7765,0.7765,0.0168,0.7438,5,55.3
big-n3,big,3,letters_upper_U_dejavuserif-bold_v2,letters_upper,0.7299,0.7299,0.6996,0.6996,0.0203,0.6703,5,56.8
big-n3,big,3,letters_upper_V_dejavusans-bold,letters_upper,0.8285,0.8285,0.8139,0.8139,0.0198,0.7754,5,56.4
big-n3,big,3,letters_upper_V_dejavusansmono-bold,letters_upper,0.8226,0.8226,0.7932,0.7932,0.0171,0.7771,5,55.5
big-n3,big,3,letters_upper_V_dejavuserif-bold_v2,letters_upper,0.7846,0.7846,0.7653,0.7653,0.0294,0.7068,5,56.6
big-n3,big,3,letters_upper_W_dejavusans-bold,letters_upper,0.7236,0.7236,0.6646,0.6646,0.0421,0.6004,5,58.3
big-n3,big,3,letters_upper_W_dejavusansmono-bold,letters_upper,0.7277,0.7277,0.6965,0.6965,0.0173,0.677,5,57.5
big-n3,big,3,letters_upper_W_dejavuserif-bold,letters_upper,0.6314,0.6314,0.5924,0.5924,0.0359,0.5306,5,58.3
big-n3,big,3,letters_upper_X_dejavusans-bold,letters_upper,0.6489,0.6489,0.64,0.64,0.0074,0.6278,5,58.7
big-n3,big,3,letters_upper_X_dejavusansmono-bold,letters_upper,0.6667,0.6667,0.6423,0.6423,0.0297,0.5891,5,58.1
big-n3,big,3,letters_upper_X_dejavuserif-bold,letters_upper,0.6301,0.6301,0.5848,0.5848,0.0263,0.5584,5,57.4
big-n3,big,3,letters_upper_Y_dejavusans-bold,letters_upper,0.8128,0.8128,0.7918,0.7918,0.0222,0.7511,5,57.8
big-n3,big,3,letters_upper_Y_dejavusansmono-bold,letters_upper,0.7816,0.7816,0.7454,0.7454,0.0279,0.6986,5,57.1
big-n3,big,3,letters_upper_Y_dejavuserif-bold,letters_upper,0.7818,0.7818,0.7735,0.7735,0.0059,0.7674,5,57.2
big-n3,big,3,letters_upper_Z_dejavusans-bold,letters_upper,0.6959,0.6959,0.6556,0.6556,0.0286,0.6251,5,56.2
big-n3,big,3,letters_upper_Z_dejavusansmono-bold,letters_upper,0.7684,0.7684,0.7024,0.7024,0.0362,0.664,5,56.0
big-n3,big,3,letters_upper_Z_dejavuserif-bold,letters_upper,0.6966,0.6966,0.6699,0.6699,0.0237,0.6329,5,55.9
big-n5,big,5,digits_0_dejavusans-bold,digits,0.8518,0.8518,0.8182,0.8182,0.0251,0.79,5,91.1
big-n5,big,5,digits_0_dejavusansmono-bold,digits,0.7647,0.7647,0.741,0.741,0.0187,0.709,5,92.3
big-n5,big,5,digits_0_dejavuserif-bold,digits,0.7741,0.7741,0.7549,0.7549,0.0173,0.7241,5,90.5
big-n5,big,5,digits_1_dejavusans-bold,digits,0.8396,0.8396,0.7962,0.7962,0.0308,0.7617,5,91.2
big-n5,big,5,digits_1_dejavusansmono-bold,digits,0.8427,0.8427,0.7895,0.7895,0.0307,0.7567,5,91.4
big-n5,big,5,digits_1_dejavuserif-bold,digits,0.7685,0.7685,0.7491,0.7491,0.0185,0.7185,5,92.0
big-n5,big,5,digits_2_dejavusans-bold,digits,0.7758,0.7758,0.7106,0.7106,0.0501,0.6481,5,94.6
big-n5,big,5,digits_2_dejavusansmono-bold,digits,0.7313,0.7313,0.6729,0.6729,0.0486,0.6045,5,96.7
big-n5,big,5,digits_2_dejavuserif-bold,digits,0.6773,0.6773,0.6527,0.6527,0.0182,0.6329,5,97.8
big-n5,big,5,digits_3_dejavusans-bold,digits,0.7182,0.7182,0.668,0.668,0.027,0.6433,5,94.2
big-n5,big,5,digits_3_dejavusansmono-bold,digits,0.6243,0.6243,0.6067,0.6067,0.0142,0.5875,5,95.3
big-n5,big,5,digits_3_dejavuserif-bold,digits,0.6048,0.6048,0.592,0.592,0.0095,0.5804,5,95.1
big-n5,big,5,digits_4_dejavusans-bold,digits,0.735,0.735,0.7256,0.7256,0.0081,0.7124,5,93.2
big-n5,big,5,digits_4_dejavusansmono-bold,digits,0.7177,0.7177,0.6988,0.6988,0.0174,0.6697,5,92.8
big-n5,big,5,digits_4_dejavuserif-bold,digits,0.7105,0.7105,0.6771,0.6771,0.0257,0.6404,5,93.7
big-n5,big,5,digits_5_dejavusans-bold,digits,0.7316,0.7316,0.6971,0.6971,0.0224,0.664,5,93.0
big-n5,big,5,digits_5_dejavusansmono-bold,digits,0.6969,0.6969,0.6755,0.6755,0.012,0.6635,5,92.9
big-n5,big,5,digits_5_dejavuserif-bold,digits,0.6113,0.6113,0.593,0.593,0.0201,0.5557,5,93.2
big-n5,big,5,digits_6_dejavusans-bold,digits,0.7695,0.7695,0.7475,0.7475,0.0159,0.7295,5,91.6
big-n5,big,5,digits_6_dejavusansmono-bold,digits,0.7675,0.7675,0.7309,0.7309,0.027,0.6883,5,92.0
big-n5,big,5,digits_6_dejavuserif-bold,digits,0.7325,0.7325,0.72,0.72,0.0093,0.7093,5,91.8
