part,subcat,sample_id,subset,class,target_path,best_iou,reason
A,A.4 structure,letters_upper_I_dejavusans-bold,letters_upper,I,targets/letters_upper/I_dejavusans-bold.png,0.791,"most vertically symmetric, sym_v=1.00"
A,A.4 structure,abstract_device7_mpeg7-04,abstract,device7,targets/abstract/device7_mpeg7-04.png,0.6179,"most boundary detail, contour_hf_energy=0.92"
A,A.4 structure,animals_butterfly_mpeg7-02,animals,butterfly,targets/animals/butterfly_mpeg7-02.png,0.574,most skeleton junctions n=38
A,A.4 structure,objects_spoon_mpeg7-02,objects,spoon,targets/objects/spoon_mpeg7-02.png,0.5546,"least vertically symmetric, sym_v=0.03"
B,B.1 overlap,abstract_hcircle_mpeg7-03,abstract,hcircle,targets/abstract/hcircle_mpeg7-03.png,0.8512,highest IoU 0.85
B,B.1 overlap,objects_fork_mpeg7-05,objects,fork,targets/objects/fork_mpeg7-05.png,0.278,lowest IoU 0.28
B,B.2 boundary,objects_cup_mpeg7-03,objects,cup,targets/objects/cup_mpeg7-03.png,0.7509,IoU 0.75 but boundary_iou 0.16 (outline is wrong under a fine-looking IoU)
B,B.2 boundary,abstract_device4_mpeg7-03,abstract,device4,targets/abstract/device4_mpeg7-03.png,0.7458,IoU 0.75 but boundary_iou 0.15 (outline is wrong under a fine-looking IoU)
B,B.3 thin structure,objects_cup_mpeg7-02,objects,cup,targets/objects/cup_mpeg7-02.png,0.7651,IoU 0.77 but cldice 0.63 (thin/skeleton structure lost)
B,B.3 thin structure,objects_apple_mpeg7-05,objects,apple,targets/objects/apple_mpeg7-05.png,0.7532,IoU 0.75 but cldice 0.67 (thin/skeleton structure lost)
B,B.4 topology,objects_pocket_mpeg7-04,objects,pocket,targets/objects/pocket_mpeg7-04.png,0.561,"betti_error=13 (d_betti0=0, d_betti1=-13) -- holes/parts wrong, invisible to IoU"
B,B.4 topology,animals_dog_mpeg7-03,animals,dog,targets/animals/dog_mpeg7-03.png,0.3107,"betti_error=23 (d_betti0=-13, d_betti1=-10) -- holes/parts wrong, invisible to IoU"
B,B.5 placement,letters_lower_q_dejavusansmono-bold,letters_lower,q,targets/letters_lower/q_dejavusansmono-bold.png,0.625,limb_offset_rel=0.35 (protrusions in the wrong place)
B,B.5 placement,objects_guitar_mpeg7-03,objects,guitar,targets/objects/guitar_mpeg7-03.png,0.3251,limb_offset_rel=0.35 (protrusions in the wrong place)
C,C.4 human study design (match-to-target 2-AFC (no name -- abstract control)),abstract_hcircle_mpeg7-03,abstract,hcircle,targets/abstract/hcircle_mpeg7-03.png,0.8512,"best physical realization in abstract (IoU 0.85), most likely to be a fair naming/matching test"
C,C.4 human study design (open naming + 4-AFC),objects_jar_mpeg7-04,objects,jar,targets/objects/jar_mpeg7-04.png,0.8311,"best physical realization in objects (IoU 0.83), most likely to be a fair naming/matching test"
C,C.4 human study design (open naming + 4-AFC),figures_face_mpeg7-02,figures,face,targets/figures/face_mpeg7-02.png,0.8184,"best physical realization in figures (IoU 0.82), most likely to be a fair naming/matching test"
C,C.4 human study design (open naming + 4-AFC),letters_upper_L_dejavusans-bold,letters_upper,L,targets/letters_upper/L_dejavusans-bold.png,0.7993,"best physical realization in letters_upper (IoU 0.80), most likely to be a fair naming/matching test"
C,C.4 human study design (open naming + 4-AFC),letters_lower_r_dejavusans-bold,letters_lower,r,targets/letters_lower/r_dejavusans-bold.png,0.7987,"best physical realization in letters_lower (IoU 0.80), most likely to be a fair naming/matching test"
C,C.4 human study design (open naming + 4-AFC),hand_shadow_chicken_hasper-01,hand_shadow,chicken,targets/hand_shadow/chicken_hasper-01.png,0.7859,"best physical realization in hand_shadow (IoU 0.79), most likely to be a fair naming/matching test -- human-expert reference subset"
C,C.4 human study design (open naming + 4-AFC),animals_butterfly_mpeg7-05,animals,butterfly,targets/animals/butterfly_mpeg7-05.png,0.7623,"best physical realization in animals (IoU 0.76), most likely to be a fair naming/matching test"
C,C.4 human study design (open naming + 4-AFC),digits_0_dejavusans-bold,digits,0,targets/digits/0_dejavusans-bold.png,0.7575,"best physical realization in digits (IoU 0.76), most likely to be a fair naming/matching test"
C,C.4 human study design (open naming + 4-AFC),vehicles_chopper_mpeg7-05,vehicles,chopper,targets/vehicles/chopper_mpeg7-05.png,0.6865,"best physical realization in vehicles (IoU 0.69), most likely to be a fair naming/matching test"
D,D -- repeatability check,animals_sea-snake_mpeg7-05,animals,sea-snake,targets/animals/sea-snake_mpeg7-05.png,0.5497,std_iou=0.064 across seeds (least repeatable -> candidate for physical repeatability/light-robustness testing)
D,D -- repeatability check,animals_sea-snake_mpeg7-02,animals,sea-snake,targets/animals/sea-snake_mpeg7-02.png,0.5477,std_iou=0.056 across seeds (least repeatable -> candidate for physical repeatability/light-robustness testing)
D,D.1 demo -- attribute-space coverage,objects_guitar_mpeg7-03,objects,guitar,targets/objects/guitar_mpeg7-03.png,0.3251,"n_holes_signif=2, thin_mass_frac=0.99, sym_v=0.11 (combo not covered by other tiers)"
D,D.1 demo -- easy tier,abstract_hcircle_mpeg7-04,abstract,hcircle,targets/abstract/hcircle_mpeg7-04.png,0.829,"demo_score_proxy=0.90, IoU 0.83, std 0.011 (high quality, repeatable)"
D,D.1 demo -- easy tier,abstract_comma_mpeg7-02,abstract,comma,targets/abstract/comma_mpeg7-02.png,0.7924,"demo_score_proxy=0.84, IoU 0.79, std 0.011 (high quality, repeatable)"
D,D.1 demo -- honest failure case,vehicles_carriage_mpeg7-04,vehicles,carriage,targets/vehicles/carriage_mpeg7-04.png,0.4838,"vehicles tops out low (IoU 0.48); documented hard-case slot, not the demo reel"
D,D.1 demo -- honest failure case,objects_fork_mpeg7-05,objects,fork,targets/objects/fork_mpeg7-05.png,0.278,lowest IoU overall 0.28
D,D.1 demo -- medium tier,objects_glas_mpeg7-04,objects,glas,targets/objects/glas_mpeg7-04.png,0.6861,"demo_score_proxy=0.56, IoU 0.69, std 0.019"
D,D.1 demo -- medium tier,animals_beetle_mpeg7-02,animals,beetle,targets/animals/beetle_mpeg7-02.png,0.6262,"demo_score_proxy=0.56, IoU 0.63, std 0.012"
