part,subcat,sample_id,subset,class,target_path,best_iou,reason
B,B.4 topology,letters_upper_N_dejavusansmono-bold,letters_upper,N,targets/letters_upper/N_dejavusansmono-bold.png,0.6729,"betti_error=4 (d_betti0=0, d_betti1=4) -- loop/part count wrong, invisible to IoU"
B,B.4 topology,letters_lower_a_dejavusans-bold,letters_lower,a,targets/letters_lower/a_dejavusans-bold.png,0.6238,"betti_error=4 (d_betti0=0, d_betti1=4) -- loop/part count wrong, invisible to IoU"
B,B.5 placement,letters_lower_n_dejavusans-bold,letters_lower,n,targets/letters_lower/n_dejavusans-bold.png,0.6692,limb_offset_rel=0.34 (strokes/endpoints in the wrong place)
B,B.5 placement,letters_lower_q_dejavusansmono-bold,letters_lower,q,targets/letters_lower/q_dejavusansmono-bold.png,0.625,limb_offset_rel=0.35 (strokes/endpoints in the wrong place)
C,C.4 human study design (open naming + 4-AFC),letters_upper_L_dejavusans-bold,letters_upper,L,targets/letters_upper/L_dejavusans-bold.png,0.7993,best physical realization in letters_upper (IoU 0.80)
C,C.4 human study design (open naming + 4-AFC),letters_lower_r_dejavusans-bold,letters_lower,r,targets/letters_lower/r_dejavusans-bold.png,0.7987,best physical realization in letters_lower (IoU 0.80)
C,C.4 human study design (open naming + 4-AFC),digits_0_dejavusans-bold,digits,0,targets/digits/0_dejavusans-bold.png,0.7575,best physical realization in digits (IoU 0.76)
C,C.4 human study design (open naming + 4-AFC),letters_upper_O_dejavusansmono-bold,letters_upper,O,targets/letters_upper/O_dejavusansmono-bold.png,0.7573,"closed-loop glyph contrast (has a hole) in letters_upper, IoU 0.76"
C,C.4 human study design (open naming + 4-AFC),letters_lower_b_dejavusans-bold,letters_lower,b,targets/letters_lower/b_dejavusans-bold.png,0.7399,"closed-loop glyph contrast (has a hole) in letters_lower, IoU 0.74"
D,D -- repeatability check,letters_lower_j_dejavusans-bold,letters_lower,j,targets/letters_lower/j_dejavusans-bold.png,0.6881,std_iou=0.040 across seeds (least repeatable)
D,D -- repeatability check,letters_lower_w_dejavusansmono-bold,letters_lower,w,targets/letters_lower/w_dejavusansmono-bold.png,0.6338,std_iou=0.038 across seeds (least repeatable)
D,D.1 demo -- attribute-space coverage,letters_upper_A_dejavuserif-bold,letters_upper,A,targets/letters_upper/A_dejavuserif-bold.png,0.585,"n_holes_signif=1, thin_mass_frac=0.67, sym_v=0.21 (combo not covered elsewhere)"
D,D.1 demo -- easy tier,letters_upper_I_dejavusans-bold,letters_upper,I,targets/letters_upper/I_dejavusans-bold.png,0.791,"demo_score_proxy=0.88, IoU 0.79, std 0.011"
D,D.1 demo -- easy tier,letters_lower_l_dejavusans-bold,letters_lower,l,targets/letters_lower/l_dejavusans-bold.png,0.7675,"demo_score_proxy=0.83, IoU 0.77, std 0.011"
D,D.1 demo -- honest failure case,letters_upper_N_dejavuserif-bold,letters_upper,N,targets/letters_upper/N_dejavuserif-bold.png,0.497,"IoU 0.50, among the lowest in letters/digits"
D,D.1 demo -- honest failure case,letters_upper_M_dejavuserif-bold,letters_upper,M,targets/letters_upper/M_dejavuserif-bold.png,0.4809,"IoU 0.48, among the lowest in letters/digits"
D,D.1 demo -- medium tier,digits_7_dejavusans-bold,digits,7,targets/digits/7_dejavusans-bold.png,0.7006,"demo_score_proxy=0.42, IoU 0.70, std 0.021"
D,D.1 demo -- medium tier,letters_upper_B_dejavusansmono-bold,letters_upper,B,targets/letters_upper/B_dejavusansmono-bold.png,0.688,"demo_score_proxy=0.44, IoU 0.69, std 0.019"
